start	end	text
0	5200	Hey, what's up? It's Zach. I just want to pop in here up top to make a quick announcement.
5200	10800	It's getting really cold outside. We here at PTBP feel super grateful to not only have a
10800	16080	warm place to sleep at night, but also the means to help those who don't. So we're going to take
16080	22000	the money from all new and upgrading Patreon supporters throughout the month of November.
22000	27520	We're going to double it and we're going to buy blankets and sleeping bags for folks in
27520	33440	Springfield who need them. So one more time for the people super focused on washing dishes or
33440	40080	eating pussy or both, if you join our Patreon or upgrade your support any time in the month
40080	47040	of November, we are going to take all that new and upgraded money, we're going to double it,
47040	53760	and then we're going to use that money to purchase blankets and sleeping bags for people in our area
53760	59200	who need some help staying warm this winter. This David Winters. Whatever, here's Wolf.
59200	68160	Hello my children from times past, present, and future. I've only just now in this moment
68160	75040	realized that I happen to be stuck in a fucking cage in this godforsaken barn.
75040	83520	And despite all my rage, I somehow wound up in the 1990s. What the flippin' fuck is going on
83600	91520	around here? My producer's going to get an earful about this whenever he is. But anyways,
91520	98640	since I'm stuck here, I may as well continue the show. As I always say, the show must go on.
98640	106960	I invented that saying. Everyone else who says it is plagiarizing me. Anyway, we got a new Howlin'
106960	114720	with Wolf, and this week's is presented by Stephen Lee from Brampton, Ontario, Canada,
114720	121760	who tweeted about the show and tagged that pretending pog. He writes, hello PTBP crew.
121760	130160	I wanted to thank you for hours of horrifying, heroin, and hilarious content. Last October,
130160	136800	I was seeking some good spooky content to binge and scratch that delta green itch,
136800	143040	and I began to listen. Listening motivated me enough to get a one-shot started with my
143040	150320	gaming group. Keep up the great work, and I'd like to shout out my own agents, Hannah, Sarah,
150320	156800	and Scott, as they probe the limits of scientific knowledge and the edges of what's real.
157520	164800	Well, damn. Hello, Stephen Lee. I'm happy that whatever this show is inspired you to do
164800	171520	something. You only have one shot in this life, unlike me, and I'm glad you are shooting that
171520	178240	one shot to run a one-shot with a gaming group. I'm glad you're doing whatever the hell it is
178240	185440	you're doing, and I hope you're loving doing it. Ta-ta for now. Well, now, if you want to
185440	191360	write up something for your dimension hopping wolf to hell, it's really quite simple. Just
191360	198960	tag at Pretending Pod on Twitter or Instagram, or you can go above and beyond. Spend 30 seconds
198960	206160	of your time. Write a quick five-star review on Apple Podcasts, and then let us know it was you
206160	215920	with an email to pretendingpod at gmail.com. Pretending Pod. Pretending Pod. Pretending Pod.
215920	220240	If you can't support the show by telling your friends that you're a heckin' weirdo,
220240	228960	throw us some bones on Patreon in exchange for a slop trough full of 24 episodes. Like that piece
228960	236160	of shit Zack said at the top of the show, we're out here slingin' extra tent to purchase tents
236160	242720	and sleeping bags for folks who need them. It's cold out there, but Wolf's got a warm heart.
243280	251200	Now, everyone listening to this, please do me an actually important favor. Stop whatever you are
251200	259680	doing right now. Raise your snout to the sky like the animal you are, and shout these three words
259680	268320	at the top of your lungs. Fuck Mark Zuckerberg. It's time for the news. Last time, Federal
268320	279280	Marshal Harlan Nash, ATF Agent Tanner Tan, Luda Hyde, and DEA Agents Joe Dean and Cindy Woodabaga
279280	286480	were sent to Groversville, Tennessee, the bud end of regional jokes due to the reported UFO sightings
286480	294640	in the area. What brought them there, however, was neither unidentified nor flying. A recent high
294640	301200	school graduate named Billy Ray Spivey smashed a hole in his dad's chest before going on a
301200	308160	painkiller-focused burglary spree, which included punching a gas station attendant in the head so
308160	315200	hard that the victim's gore detached and flew off his shoulders. After being hit center mass with
315200	321280	four rounds, Billy went down long enough for the cops on the scene to detain and sedate the
321280	329920	unnaturally strong teen boy. With that information, Ncel badgered the apprehended and restrained Billy
329920	336480	Ray, considered cutting him open, and eventually went to his girlfriend's house in Groversville.
336480	342640	She wasn't there, but they talked to her weird mom for a weirder amount of time. Thankfully,
342640	349280	they found a business card in her room for Scott Adams, a UFO hunter with a group called Watch the
349280	358320	Skies. Watch the Skies? More like watch these guys keep interviewing this cool ass mom for the next
358320	376160	four episodes. Shit might get hairy, but at least we have Brat Pit with Miss Mary.
388320	417440	You guys know the we are farmers thing, but this time it's like
417440	427120	David Winters. David Winters is here, everyone, to run us through a game of Delta Green. Yes,
427120	434000	he decided that one episode was not enough. You didn't get the closure you were seeking, David?
434000	439120	No, I was shooting for a single episode appearance, but it seems as though I bit
439120	443040	off more than I could chew, and I am now contractually obligated to stay.
443040	448560	We are a mouthful. We did find you to a really, really brutal contract.
448560	449920	How much are we making him pay us?
453040	455200	Really should read those things before I sign them.
455200	458880	We actually have a controlling stake in the glass cannon network now.
458880	460400	He's going to have to break to those guys.
464320	469600	Well, I didn't have one in the first place. Well, it's kind of like every time you update
469600	474400	your phone's operating system, and you're just like, agree, agree, agree. How bad could this be?
474400	477840	That's what we actually slipped it into, was your latest Samsung terms of service.
479680	484160	We looked at you, and we were like, he's not an Apple guy. He's not using an iPhone.
484160	485120	He's like me.
485120	486480	He's one of the Thomases of the world.
486480	489840	Actually, I bet you are an Apple guy. Am I correct? Yes.
489840	495040	I was wrong. I walked in the store the other day. I was like, give me another one, please.
495760	502000	Not the newest one, but one that's better than mine currently that will actually open up
502000	506480	when I click an app because there for a while, David, I was clicking an app,
506480	511920	and then it would just close because my phone didn't work anymore because it was 10 years old.
511920	513840	Wow. That's impressive.
513840	514880	10 years old?
514880	515200	Yeah.
515200	516160	2011?
516160	520320	Yeah, as an iPhone original series. I had the OG iPhone.
520320	522160	Wow. That was from 2007.
522160	523440	Yep. A decade ago.
524960	525920	Never forget.
525920	527600	We already did 30 seconds of silence.
528400	531920	Yeah, but then Luke brought up 9-11, so we've got to do 30 more.
531920	532420	30 more.
533600	534880	Josh, respect.
534880	535380	Jesus.
539280	540800	I don't want to do another 30 seconds.
543760	545360	It's so uncomfortable the first time.
546560	547920	You know what was uncomfortable?
547920	550240	As as a nation, watching those people leap to their deaths.
552240	554560	Can we take 30 fucking seconds, Joe?
556400	557520	A moment of silence.
560800	562160	I don't like that at all.
564000	564480	No, sir.
567920	574560	And with that, I think let's get into this episode of this one shot that we're doing
574560	576400	here with David Winters.
576400	579280	Have you ever heard this? Winters is coming.
579280	581600	That's what he says every time he climaxes.
584320	585440	Episode two.
585440	586720	We feel like we know you.
586720	588480	We're comfortable with you, David.
588480	589600	Are you comfortable?
590720	592000	I'm so comfortable.
592000	592880	You don't even know.
594640	596080	That is actually scary.
596080	600240	All right, let's go into this 18-year-old girl's room.
601200	601700	Mm-hmm.
606400	608640	We just found a business card.
608640	610000	Yeah, and we're gonna...
610000	610800	Yes, yes, yes.
610800	615760	We need to go talk to Bradley Allen, he uses his computer.
615760	616880	We've got a lot of people we need to talk to.
616880	621040	Bradley Allen has potentially been at work missing this whole time,
621040	625040	but we do know there's an internet-capable computer at his work, so...
626320	629440	Was the town hall and the sheriff's office all kind of together?
629440	631920	Yep, yep, that's all the center of Grover'sville.
631920	633440	We're gonna kill a lot of birds.
634480	636640	He found a business card, just to recap.
